idx,kind,water,dist,step,seg,amp,amp0,accel,sh_amp,sh_cyc,zz_amp,zz_cyc,tilt_deg,tilt_cyc,vz_amp,vz_cyc
118,zigzag,0.085,0.3049,6,33,,,,,,0.094,2.28,,,,
119,tilt,0.065,0.2674,7,29,,,,,,,,13.23,0.0,,
120,curve,0.075,0.3727,5,40,0.0832,0.0661,,,,,,,,,
121,stop,0.055,0.2969,7,29,,,2,,,,,,,,
122,shake,0.055,0.2623,7,29,,,,0.0422,3.32,,,,,,
123,zigzag,0.085,0.2479,7,29,,,,,,0.0981,1.47,,,,
124,tilt,0.065,0.367,6,33,,,,,,,,8.63,2.0,,
125,curve,0.075,0.3378,5,40,0.1572,0.0558,,,,,,,,,
126,stop,0.085,0.2539,8,25,,,3,,,,,,,,
127,shake,0.085,0.3436,5,40,,,,0.0375,3.21,,,,,,
128,zigzag,0.085,0.3187,6,33,,,,,,0.1014,1.73,,,,
129,tilt,0.085,0.2678,6,33,,,,,,,,13.02,1.0,,
130,curve,0.055,0.3534,6,33,0.1462,0.0769,,,,,,,,,
131,stop,0.075,0.2597,5,40,,,3,,,,,,,,
132,shake,0.065,0.3727,6,33,,,,0.0491,3.26,,,,,,
133,zigzag,0.075,0.3725,8,25,,,,,,0.0418,1.71,,,,
134,tilt,0.085,0.3994,5,40,,,,,,,,7.86,1.0,,
135,curve,0.065,0.3415,7,29,0.0998,0.0779,,,,,,,,,
136,stop,0.055,0.2841,7,29,,,2,,,,,,,,
137,shake,0.075,0.3384,7,29,,,,0.0381,1.93,,,,,,
138,zigzag,0.085,0.2574,5,40,,,,,,0.0884,2.32,,,,
139,tilt,0.065,0.2597,5,40,,,,,,,,9.63,2.0,,
140,curve,0.065,0.3871,8,25,0.0691,0.023,,,,,,,,,
141,stop,0.085,0.3114,8,25,,,2,,,,,,,,
142,shake,0.055,0.2805,6,33,,,,0.0382,3.08,,,,,,
143,zigzag,0.065,0.3298,6,33,,,,,,0.0985,2.15,,,,
144,tilt,0.085,0.3833,5,40,,,,,,,,11.71,2.0,,
145,curve,0.055,0.3353,6,33,0.0894,0.0436,,,,,,,,,
146,stop,0.055,0.2457,8,25,,,3,,,,,,,,
147,shake,0.085,0.2567,7,29,,,,0.0326,1.8,,,,,,
148,zigzag,0.075,0.2517,5,40,,,,,,0.0735,1.05,,,,
149,tilt,0.065,0.2674,5,40,,,,,,,,8.33,0.0,,
150,curve,0.055,0.3623,7,29,0.1389,0.023,,,,,,,,,
151,stop,0.065,0.2511,7,29,,,3,,,,,,,,
152,shake,0.065,0.2495,6,33,,,,0.0253,1.82,,,,,,
153,zigzag,0.075,0.2931,6,33,,,,,,0.0518,2.65,,,,
154,tilt,0.055,0.3617,6,33,,,,,,,,10.24,2.0,,
155,curve,0.085,0.3376,6,33,0.1708,0.0717,,,,,,,,,
156,stop,0.085,0.3279,8,25,,,2,,,,,,,,
157,shake,0.075,0.2614,5,40,,,,0.0445,3.63,,,,,,
158,zigzag,0.055,0.2555,8,25,,,,,,0.1061,1.78,,,,
159,tilt,0.055,0.2435,5,40,,,,,,,,11.52,0.0,,
160,curve,0.065,0.3573,5,40,0.0651,0.0666,,,,,,,,,
161,stop,0.085,0.3454,5,40,,,2,,,,,,,,
162,shake,0.055,0.3661,8,25,,,,0.05,2.25,,,,,,
163,zigzag,0.075,0.3897,8,25,,,,,,0.115,1.23,,,,
164,tilt,0.085,0.3747,8,25,,,,,,,,9.66,2.0,,
165,curve,0.055,0.3393,7,29,0.1166,0.0479,,,,,,,,,
166,stop,0.065,0.2588,8,25,,,3,,,,,,,,
167,shake,0.055,0.3483,8,25,,,,0.0358,3.14,,,,,,
168,zigzag,0.065,0.3414,7,29,,,,,,0.0912,2.07,,,,
169,tilt,0.085,0.3624,7,29,,,,,,,,10.73,1.0,,
170,curve,0.085,0.3476,8,25,0.0546,0.0796,,,,,,,,,
171,stop,0.075,0.3268,7,29,,,2,,,,,,,,
172,shake,0.065,0.2854,6,33,,,,0.0348,3.41,,,,,,
173,zigzag,0.055,0.3451,5,40,,,,,,0.0784,1.27,,,,
174,tilt,0.075,0.2656,8,25,,,,,,,,8.37,0.0,,
175,curve,0.085,0.3639,6,33,0.0533,0.0775,,,,,,,,,
176,stop,0.085,0.2623,6,33,,,3,,,,,,,,
177,shake,0.085,0.3175,7,29,,,,0.0241,1.65,,,,,,
178,zigzag,0.085,0.3828,5,40,,,,,,0.0594,1.93,,,,
179,tilt,0.075,0.2977,6,33,,,,,,,,11.21,2.0,,
180,curve,0.065,0.3982,5,40,0.0591,0.0516,,,,,,,,,
181,stop,0.075,0.282,7,29,,,2,,,,,,,,
182,shake,0.055,0.3898,6,33,,,,0.0443,3.25,,,,,,
183,zigzag,0.055,0.2856,7,29,,,,,,0.0978,1.25,,,,
184,tilt,0.075,0.2794,5,40,,,,,,,,11.26,0.0,,
185,curve,0.065,0.3118,7,29,0.1172,0.0287,,,,,,,,,
186,stop,0.055,0.3555,6,33,,,3,,,,,,,,
187,shake,0.055,0.2482,7,29,,,,0.0407,3.58,,,,,,
188,zigzag,0.065,0.271,7,29,,,,,,0.0585,1.63,,,,
189,tilt,0.065,0.2913,8,25,,,,,,,,13.13,0.0,,
190,curve,0.065,0.3484,7,29,0.1028,0.0412,,,,,,,,,
191,stop,0.055,0.3376,5,40,,,3,,,,,,,,
192,shake,0.065,0.2487,7,29,,,,0.0318,2.81,,,,,,
193,zigzag,0.075,0.3273,8,25,,,,,,0.0524,2.11,,,,
194,tilt,0.085,0.253,7,29,,,,,,,,13.34,2.0,,
195,curve,0.065,0.3705,7,29,0.0599,0.0565,,,,,,,,,
196,stop,0.075,0.2473,6,33,,,2,,,,,,,,
197,shake,0.065,0.374,6,33,,,,0.03,1.98,,,,,,
198,zigzag,0.075,0.2773,5,40,,,,,,0.0987,2.99,,,,
199,tilt,0.085,0.2955,7,29,,,,,,,,8.23,0.0,,
200,curve,0.085,0.2413,5,40,0.0502,0.0226,,,,,,,,,
201,stop,0.085,0.2709,7,29,,,3,,,,,,,,
202,shake,0.065,0.3484,6,33,,,,0.0442,2.98,,,,,,
203,zigzag,0.065,0.2718,8,25,,,,,,0.0408,2.65,,,,
204,tilt,0.065,0.3565,8,25,,,,,,,,10.38,1.0,,
205,curve,0.075,0.2449,6,33,0.1363,0.0491,,,,,,,,,
206,stop,0.065,0.2927,5,40,,,3,,,,,,,,
207,shake,0.075,0.3942,5,40,,,,0.0264,2.85,,,,,,
208,zigzag,0.085,0.3592,7,29,,,,,,0.057,1.12,,,,
209,tilt,0.085,0.3329,5,40,,,,,,,,13.84,1.0,,
210,curve,0.075,0.3327,6,33,0.0563,0.0694,,,,,,,,,
211,stop,0.075,0.2823,6,33,,,3,,,,,,,,
212,shake,0.065,0.3562,7,29,,,,0.0395,1.98,,,,,,
213,zigzag,0.085,0.3007,6,33,,,,,,0.0557,2.44,,,,
214,tilt,0.055,0.368,6,33,,,,,,,,12.58,1.0,,
215,curve,0.065,0.248,6,33,0.0748,0.0313,,,,,,,,,
216,stop,0.055,0.3325,6,33,,,2,,,,,,,,
217,shake,0.085,0.2761,7,29,,,,0.0338,1.95,,,,,,
218,zigzag,0.065,0.3296,8,25,,,,,,0.043,2.59,,,,
219,tilt,0.075,0.2787,8,25,,,,,,,,6.58,0.0,,
220,curve,0.065,0.2532,6,33,0.1109,0.023,,,,,,,,,
221,stop,0.075,0.3339,7,29,,,2,,,,,,,,
222,shake,0.055,0.3355,7,29,,,,0.0487,2.06,,,,,,
223,zigzag,0.075,0.2724,5,40,,,,,,0.1028,2.16,,,,
224,tilt,0.065,0.3048,5,40,,,,,,,,6.77,0.0,,
225,curve,0.085,0.2553,5,40,0.1084,0.0423,,,,,,,,,
226,stop,0.075,0.2651,6,33,,,3,,,,,,,,
227,shake,0.065,0.3774,7,29,,,,0.047,2.17,,,,,,
228,zigzag,0.055,0.3242,8,25,,,,,,0.0814,2.31,,,,
229,tilt,0.065,0.3812,6,33,,,,,,,,12.31,1.0,,
230,curve,0.055,0.3059,8,25,0.1627,0.0449,,,,,,,,,
231,stop,0.075,0.3597,6,33,,,3,,,,,,,,
232,shake,0.065,0.2433,8,25,,,,0.0258,2.89,,,,,,
233,zigzag,0.075,0.2797,5,40,,,,,,0.1078,2.29,,,,
234,tilt,0.055,0.3238,6,33,,,,,,,,10.82,2.0,,
235,curve,0.065,0.3119,5,40,0.1028,0.0348,,,,,,,,,
236,stop,0.065,0.3093,5,40,,,3,,,,,,,,
237,shake,0.065,0.3056,5,40,,,,0.0223,2.77,,,,,,
238,zigzag,0.055,0.2771,6,33,,,,,,0.0417,1.9,,,,
239,tilt,0.075,0.2972,5,40,,,,,,,,6.25,0.0,,
240,curve,0.075,0.2551,5,40,0.1554,0.0236,,,,,,,,,
241,stop,0.085,0.297,7,29,,,3,,,,,,,,
242,shake,0.075,0.3884,6,33,,,,0.0215,2.19,,,,,,
243,zigzag,0.085,0.3909,8,25,,,,,,0.0631,1.17,,,,
244,tilt,0.075,0.2918,7,29,,,,,,,,11.47,1.0,,
245,curve,0.075,0.3424,6,33,0.1788,0.0651,,,,,,,,,
246,stop,0.055,0.3496,8,25,,,3,,,,,,,,
247,shake,0.075,0.3267,8,25,,,,0.036,3.77,,,,,,
248,zigzag,0.075,0.3667,6,33,,,,,,0.0645,2.34,,,,
249,tilt,0.055,0.3469,7,29,,,,,,,,11.78,1.0,,
250,curve,0.075,0.3246,8,25,0.1086,0.0222,,,,,,,,,
251,stop,0.075,0.3336,8,25,,,3,,,,,,,,
252,shake,0.055,0.3078,5,40,,,,0.042,1.56,,,,,,
253,zigzag,0.085,0.3945,6,33,,,,,,0.0577,1.88,,,,
254,tilt,0.065,0.2833,5,40,,,,,,,,8.87,1.0,,
255,curve,0.065,0.2777,8,25,0.1012,0.0638,,,,,,,,,
256,stop,0.075,0.2845,7,29,,,3,,,,,,,,
257,shake,0.055,0.251,8,25,,,,0.0378,2.66,,,,,,
258,zigzag,0.065,0.393,5,40,,,,,,0.1016,1.61,,,,
259,tilt,0.085,0.3491,8,25,,,,,,,,8.81,2.0,,
260,curve,0.055,0.3243,7,29,0.102,0.0645,,,,,,,,,
261,stop,0.055,0.282,7,29,,,3,,,,,,,,
262,shake,0.065,0.3476,8,25,,,,0.0366,3.49,,,,,,
263,zigzag,0.065,0.2876,5,40,,,,,,0.1153,1.95,,,,
264,tilt,0.075,0.3793,8,25,,,,,,,,12.15,2.0,,
265,curve,0.055,0.3039,6,33,0.105,0.0502,,,,,,,,,
266,stop,0.085,0.3166,7,29,,,2,,,,,,,,
267,shake,0.075,0.2787,5,40,,,,0.0469,3.75,,,,,,
268,zigzag,0.065,0.2525,8,25,,,,,,0.0428,1.68,,,,
269,tilt,0.085,0.3745,6,33,,,,,,,,10.99,0.0,,
270,curve,0.055,0.308,8,25,0.112,0.0283,,,,,,,,,
271,stop,0.075,0.2995,5,40,,,3,,,,,,,,
272,shake,0.065,0.2435,5,40,,,,0.0435,3.94,,,,,,
273,zigzag,0.055,0.2785,8,25,,,,,,0.0926,2.11,,,,
274,tilt,0.075,0.2514,6,33,,,,,,,,9.13,1.0,,
275,curve,0.075,0.2727,5,40,0.0696,0.065,,,,,,,,,
276,stop,0.065,0.291,6,33,,,3,,,,,,,,
277,shake,0.055,0.345,8,25,,,,0.0255,3.23,,,,,,
278,zigzag,0.075,0.3788,5,40,,,,,,0.0932,2.57,,,,
279,tilt,0.075,0.3014,5,40,,,,,,,,12.18,0.0,,
280,curve,0.055,0.348,8,25,0.1314,0.07,,,,,,,,,
281,stop,0.085,0.3181,5,40,,,3,,,,,,,,
282,shake,0.055,0.3034,8,25,,,,0.0278,3.71,,,,,,
283,zigzag,0.075,0.3601,6,33,,,,,,0.0474,1.89,,,,
284,tilt,0.065,0.2918,5,40,,,,,,,,6.49,0.0,,
285,curve,0.065,0.2569,5,40,0.1583,0.068,,,,,,,,,
286,stop,0.075,0.2448,5,40,,,3,,,,,,,,
287,shake,0.065,0.359,6,33,,,,0.0256,3.85,,,,,,
288,zigzag,0.075,0.3628,6,33,,,,,,0.093,2.22,,,,
289,tilt,0.055,0.2585,8,25,,,,,,,,6.48,0.0,,
290,curve,0.055,0.3976,8,25,0.1319,0.0296,,,,,,,,,
291,stop,0.055,0.263,6,33,,,2,,,,,,,,
292,shake,0.065,0.2917,8,25,,,,0.0377,2.07,,,,,,
293,zigzag,0.065,0.368,6,33,,,,,,0.1193,2.21,,,,
294,tilt,0.055,0.2541,6,33,,,,,,,,6.06,1.0,,
295,curve,0.085,0.3106,5,40,0.0695,0.0565,,,,,,,,,
296,stop,0.075,0.3121,6,33,,,3,,,,,,,,
297,shake,0.065,0.2476,7,29,,,,0.0386,2.56,,,,,,
298,zigzag,0.075,0.3431,8,25,,,,,,0.0982,1.75,,,,
299,tilt,0.085,0.3814,7,29,,,,,,,,8.76,1.0,,
300,curve,0.065,0.3663,6,33,0.0997,0.0641,,,,,,,,,
301,stop,0.065,0.2429,6,33,,,3,,,,,,,,
302,shake,0.055,0.2785,8,25,,,,0.0352,1.82,,,,,,
303,zigzag,0.075,0.2441,6,33,,,,,,0.0681,2.39,,,,
304,tilt,0.065,0.3914,8,25,,,,,,,,12.85,1.0,,
305,curve,0.065,0.2439,6,33,0.0763,0.0406,,,,,,,,,
306,stop,0.065,0.2949,5,40,,,2,,,,,,,,
307,shake,0.085,0.3528,6,33,,,,0.0493,3.61,,,,,,
308,zigzag,0.085,0.3336,8,25,,,,,,0.0635,1.43,,,,
309,tilt,0.065,0.2849,5,40,,,,,,,,8.7,0.0,,
310,curve,0.065,0.3402,5,40,0.0581,0.0432,,,,,,,,,
311,stop,0.085,0.2656,5,40,,,3,,,,,,,,
312,shake,0.065,0.3481,5,40,,,,0.0213,3.49,,,,,,
313,zigzag,0.055,0.2904,6,33,,,,,,0.1154,2.04,,,,
314,tilt,0.085,0.3112,5,40,,,,,,,,12.85,1.0,,
315,curve,0.055,0.3348,7,29,0.1203,0.0288,,,,,,,,,
316,stop,0.085,0.2583,5,40,,,2,,,,,,,,
317,shake,0.055,0.308,7,29,,,,0.0247,3.91,,,,,,
318,zigzag,0.065,0.3334,5,40,,,,,,0.0666,1.7,,,,
319,tilt,0.085,0.3322,6,33,,,,,,,,10.46,0.0,,
320,curve,0.075,0.3719,5,40,0.168,0.032,,,,,,,,,
321,stop,0.075,0.3637,7,29,,,2,,,,,,,,
322,shake,0.075,0.2711,6,33,,,,0.026,3.31,,,,,,
323,zigzag,0.085,0.2715,8,25,,,,,,0.1168,1.33,,,,
324,tilt,0.065,0.3614,5,40,,,,,,,,9.34,1.0,,
325,curve,0.055,0.2408,8,25,0.0943,0.0505,,,,,,,,,
326,stop,0.075,0.3375,8,25,,,2,,,,,,,,
327,shake,0.075,0.2405,5,40,,,,0.0208,3.29,,,,,,
328,zigzag,0.055,0.3715,8,25,,,,,,0.0638,1.62,,,,
329,tilt,0.075,0.2699,6,33,,,,,,,,8.34,1.0,,
330,curve,0.065,0.3492,5,40,0.1783,0.0514,,,,,,,,,
331,stop,0.085,0.3851,6,33,,,3,,,,,,,,
332,shake,0.075,0.308,6,33,,,,0.0402,2.24,,,,,,
333,zigzag,0.065,0.3654,6,33,,,,,,0.1195,2.0,,,,
334,tilt,0.075,0.3228,7,29,,,,,,,,13.52,1.0,,
335,curve,0.075,0.3455,8,25,0.097,0.0573,,,,,,,,,
336,stop,0.055,0.2571,5,40,,,2,,,,,,,,
337,shake,0.065,0.3026,8,25,,,,0.0376,3.82,,,,,,
338,zigzag,0.055,0.3722,5,40,,,,,,0.0508,2.91,,,,
339,tilt,0.055,0.2788,8,25,,,,,,,,10.86,1.0,,
340,curve,0.075,0.2654,6,33,0.1601,0.0255,,,,,,,,,
341,stop,0.055,0.3057,8,25,,,3,,,,,,,,
342,shake,0.055,0.3996,7,29,,,,0.0214,3.77,,,,,,
343,zigzag,0.065,0.2573,6,33,,,,,,0.0983,1.17,,,,
344,tilt,0.085,0.3271,7,29,,,,,,,,12.05,1.0,,
345,curve,0.065,0.2776,7,29,0.0567,0.0552,,,,,,,,,
346,stop,0.055,0.3087,7,29,,,2,,,,,,,,
347,shake,0.075,0.3573,6,33,,,,0.0467,2.88,,,,,,
348,zigzag,0.075,0.2813,5,40,,,,,,0.058,2.28,,,,
349,tilt,0.085,0.2672,6,33,,,,,,,,12.42,2.0,,
350,curve,0.085,0.3725,7,29,0.1707,0.0384,,,,,,,,,
351,stop,0.055,0.2962,6,33,,,3,,,,,,,,
352,shake,0.085,0.2479,5,40,,,,0.0475,3.65,,,,,,
353,zigzag,0.075,0.2671,6,33,,,,,,0.0944,2.39,,,,
354,tilt,0.055,0.3266,7,29,,,,,,,,12.02,0.0,,
355,curve,0.065,0.3841,5,40,0.0973,0.0515,,,,,,,,,
356,stop,0.055,0.3708,8,25,,,3,,,,,,,,
357,shake,0.055,0.3377,8,25,,,,0.026,3.7,,,,,,
358,zigzag,0.085,0.3062,5,40,,,,,,0.0786,2.02,,,,
359,tilt,0.055,0.332,6,33,,,,,,,,8.77,2.0,,
360,curve,0.075,0.3357,6,33,0.1076,0.0743,,,,,,,,,
361,stop,0.085,0.2985,7,29,,,3,,,,,,,,
362,shake,0.065,0.3297,6,33,,,,0.0327,3.96,,,,,,
363,zigzag,0.055,0.3556,8,25,,,,,,0.1118,2.3,,,,
364,tilt,0.055,0.2937,8,25,,,,,,,,6.7,0.0,,
365,curve,0.085,0.3173,7,29,0.1538,0.0637,,,,,,,,,
366,stop,0.085,0.3512,5,40,,,3,,,,,,,,
367,shake,0.055,0.2506,6,33,,,,0.0477,1.76,,,,,,
368,zigzag,0.055,0.3162,8,25,,,,,,0.106,2.48,,,,
369,tilt,0.085,0.372,6,33,,,,,,,,13.82,1.0,,
370,curve,0.065,0.2598,7,29,0.12,0.075,,,,,,,,,
371,stop,0.055,0.3492,8,25,,,2,,,,,,,,
372,shake,0.075,0.3608,5,40,,,,0.0234,3.73,,,,,,
373,zigzag,0.065,0.266,6,33,,,,,,0.0973,1.18,,,,
374,tilt,0.075,0.2522,5,40,,,,,,,,7.09,1.0,,
375,curve,0.055,0.3714,8,25,0.1352,0.0763,,,,,,,,,
376,stop,0.075,0.3245,5,40,,,3,,,,,,,,
377,shake,0.075,0.3882,6,33,,,,0.0495,2.83,,,,,,
378,zigzag,0.075,0.3979,5,40,,,,,,0.0674,2.99,,,,
379,tilt,0.065,0.365,6,33,,,,,,,,8.79,1.0,,
380,curve,0.065,0.3257,5,40,0.0712,0.0686,,,,,,,,,
381,stop,0.065,0.2625,5,40,,,3,,,,,,,,
382,shake,0.085,0.2716,6,33,,,,0.0261,1.64,,,,,,
383,zigzag,0.075,0.3797,8,25,,,,,,0.1182,2.98,,,,
384,tilt,0.075,0.3121,6,33,,,,,,,,10.51,1.0,,
385,curve,0.085,0.343,7,29,0.1021,0.0571,,,,,,,,,
386,stop,0.055,0.3066,7,29,,,2,,,,,,,,
387,shake,0.075,0.2605,6,33,,,,0.0436,1.55,,,,,,
388,zigzag,0.065,0.3432,5,40,,,,,,0.0609,1.33,,,,
389,tilt,0.065,0.3844,6,33,,,,,,,,7.19,0.0,,
390,curve,0.065,0.3376,5,40,0.1449,0.028,,,,,,,,,
391,stop,0.065,0.2472,6,33,,,3,,,,,,,,
392,shake,0.085,0.2413,5,40,,,,0.0261,1.93,,,,,,
393,zigzag,0.055,0.3561,5,40,,,,,,0.0415,2.64,,,,
