idx,kind,water,dist,step,seg,acc_pred,amp,amp0,accel,sh_amp,sh_cyc,zz_amp,zz_cyc,tilt_deg,tilt_cyc,sh_axis,nudge
39,shake,0.075,0.3257,5,80,4.91,,,,0.0146,3.31,,,,,y,
40,zigzag,0.075,0.3351,6,67,2.71,,,,,,0.0105,2.97,,,,
41,tilt,0.075,0.3868,5,80,1.33,,,,,,,,7.88,1.0,,
42,static,0.085,0.3533,7,57,1.1,,,,,,,,,,,0.0193
43,curve,0.085,0.3695,7,57,4.69,0.0826,0.0259,,,,,,,,,
44,stop,0.085,0.3084,8,50,1.36,,,2,,,,,,,,
45,shake,0.085,0.2577,8,50,4.95,,,,0.0154,3.25,,,,,y,
46,zigzag,0.085,0.2457,8,50,2.28,,,,,,0.0109,2.7,,,,
47,tilt,0.085,0.3329,8,50,1.05,,,,,,,,9.37,0.0,,
48,static,0.055,0.259,6,67,0.81,,,,,,,,,,,0.016
49,curve,0.055,0.3637,5,80,3.83,0.0665,0.0557,,,,,,,,,
50,stop,0.055,0.3602,7,57,2.72,,,3,,,,,,,,
51,shake,0.055,0.3678,7,57,4.82,,,,0.0262,2.44,,,,,x,
52,zigzag,0.055,0.3143,5,80,3.09,,,,,,0.0203,2.31,,,,
53,tilt,0.055,0.3549,5,80,1.34,,,,,,,,10.65,1.0,,
54,static,0.065,0.2588,7,57,0.81,,,,,,,,,,,0.0089
55,curve,0.065,0.2532,5,80,3.27,0.0577,0.0785,,,,,,,,,
56,stop,0.065,0.2782,7,57,1.23,,,2,,,,,,,,
57,shake,0.065,0.3273,7,57,2.55,,,,0.0097,2.83,,,,,x,
58,zigzag,0.065,0.3077,6,67,3.09,,,,,,0.0117,3.05,,,,
59,tilt,0.065,0.3818,6,67,3.99,,,,,,,,13.6,2.0,,
60,static,0.075,0.2754,7,57,0.86,,,,,,,,,,,0.0146
61,curve,0.075,0.2747,6,67,3.25,0.057,0.0547,,,,,,,,,
62,stop,0.075,0.3689,5,80,2.79,,,3,,,,,,,,
63,shake,0.075,0.3074,7,57,4.48,,,,0.0149,3.13,,,,,x,
64,zigzag,0.075,0.2426,7,57,4.9,,,,,,0.0198,3.01,,,,
65,tilt,0.075,0.3148,6,67,2.94,,,,,,,,9.9,2.0,,
66,static,0.085,0.3712,7,57,1.16,,,,,,,,,,,0.0126
67,curve,0.085,0.2891,6,67,3.77,0.0666,0.0729,,,,,,,,,
68,stop,0.085,0.3435,8,50,1.52,,,2,,,,,,,,
69,shake,0.085,0.3754,6,67,3.13,,,,0.0079,3.5,,,,,y,
70,zigzag,0.085,0.2818,8,50,2.85,,,,,,0.0174,2.4,,,,
71,tilt,0.085,0.3905,6,67,1.24,,,,,,,,11.96,0.0,,
72,static,0.055,0.2438,6,67,0.76,,,,,,,,,,,0.0099
73,curve,0.055,0.2729,5,80,2.65,0.0456,0.0722,,,,,,,,,
74,stop,0.055,0.3728,7,57,2.82,,,3,,,,,,,,
75,shake,0.055,0.292,8,50,2.53,,,,0.0113,2.64,,,,,y,
76,zigzag,0.055,0.3928,5,80,4.76,,,,,,0.0227,2.74,,,,
77,tilt,0.055,0.286,6,67,3.2,,,,,,,,10.96,2.0,,
78,static,0.065,0.3643,7,57,1.14,,,,,,,,,,,0.0048
79,curve,0.065,0.349,7,57,4.12,0.0723,0.0254,,,,,,,,,
80,stop,0.065,0.3535,7,57,2.67,,,3,,,,,,,,
81,shake,0.065,0.2554,6,67,4.68,,,,0.0155,3.15,,,,,x,
82,zigzag,0.065,0.3417,7,57,2.37,,,,,,0.0097,2.84,,,,
83,tilt,0.065,0.3175,7,57,1.21,,,,,,,,9.89,1.0,,
84,static,0.075,0.3317,5,80,1.04,,,,,,,,,,,0.0064
85,curve,0.075,0.3588,6,67,3.48,0.0599,0.0497,,,,,,,,,
86,stop,0.075,0.3265,7,57,2.47,,,3,,,,,,,,
87,shake,0.075,0.3992,5,80,3.73,,,,0.0111,3.25,,,,,y,
88,zigzag,0.075,0.3828,8,50,2.51,,,,,,0.0111,2.71,,,,
89,tilt,0.075,0.3682,5,80,3.4,,,,,,,,11.42,2.0,,
90,static,0.085,0.3707,7,57,1.16,,,,,,,,,,,0.0194
91,curve,0.085,0.365,7,57,2.72,0.0449,0.0586,,,,,,,,,
92,stop,0.085,0.2591,8,50,1.15,,,2,,,,,,,,
93,shake,0.085,0.334,7,57,2.48,,,,0.0078,3.1,,,,,x,
94,zigzag,0.085,0.3821,7,57,3.58,,,,,,0.0232,2.32,,,,
95,tilt,0.085,0.3885,6,67,3.28,,,,,,,,10.89,2.0,,
96,static,0.055,0.2789,6,67,0.87,,,,,,,,,,,0.0038
97,curve,0.055,0.2545,6,67,4.39,0.0785,0.0798,,,,,,,,,
98,stop,0.055,0.3811,7,57,2.88,,,3,,,,,,,,
99,shake,0.055,0.3694,7,57,2.36,,,,0.0057,3.47,,,,,y,
100,zigzag,0.055,0.2499,8,50,2.75,,,,,,0.0195,2.24,,,,
101,tilt,0.055,0.2553,6,67,1.02,,,,,,,,9.0,1.0,,
102,static,0.065,0.3059,8,50,0.96,,,,,,,,,,,0.0114
103,curve,0.065,0.3426,5,80,4.33,0.0763,0.0262,,,,,,,,,
104,stop,0.065,0.346,8,50,1.53,,,2,,,,,,,,
105,shake,0.065,0.3387,7,57,2.97,,,,0.0129,2.68,,,,,y,
106,zigzag,0.065,0.3809,6,67,4.02,,,,,,0.0123,3.4,,,,
107,tilt,0.065,0.3414,7,57,3.52,,,,,,,,11.99,2.0,,
108,static,0.075,0.3338,7,57,1.04,,,,,,,,,,,0.018
109,curve,0.075,0.3793,5,80,2.83,0.0468,0.0697,,,,,,,,,
110,stop,0.075,0.3847,7,57,1.7,,,2,,,,,,,,
111,shake,0.075,0.2953,7,57,3.25,,,,0.0082,3.56,,,,,x,
112,zigzag,0.075,0.2424,6,67,3.75,,,,,,0.0138,3.14,,,,
113,tilt,0.075,0.2927,6,67,0.93,,,,,,,,9.45,0.0,,
114,static,0.085,0.2517,5,80,0.79,,,,,,,,,,,0.017
115,curve,0.085,0.385,8,50,3.17,0.0534,0.0272,,,,,,,,,
116,stop,0.085,0.35,7,57,1.55,,,2,,,,,,,,
117,shake,0.085,0.3012,7,57,4.1,,,,0.02,2.58,,,,,y,
118,zigzag,0.085,0.314,6,67,4.14,,,,,,0.0169,2.97,,,,
119,tilt,0.085,0.2648,7,57,0.85,,,,,,,,11.54,0.0,,
120,static,0.055,0.2888,8,50,0.9,,,,,,,,,,,0.0086
121,curve,0.055,0.2537,7,57,3.94,0.0702,0.0259,,,,,,,,,
122,stop,0.055,0.2546,5,80,1.92,,,3,,,,,,,,
123,shake,0.055,0.3134,6,67,4.22,,,,0.0128,3.27,,,,,y,
124,zigzag,0.055,0.3508,6,67,4.51,,,,,,0.027,2.45,,,,
125,tilt,0.055,0.347,5,80,2.03,,,,,,,,6.12,2.0,,
126,static,0.065,0.3582,5,80,1.12,,,,,,,,,,,0.0198
127,curve,0.065,0.3261,8,50,4.07,0.0717,0.0625,,,,,,,,,
128,stop,0.065,0.3262,8,50,1.44,,,2,,,,,,,,
129,shake,0.065,0.3268,8,50,2.71,,,,0.0077,3.3,,,,,y,
130,zigzag,0.065,0.3324,6,67,2.72,,,,,,0.0091,3.2,,,,
131,tilt,0.065,0.2933,5,80,0.93,,,,,,,,9.13,0.0,,
132,static,0.075,0.3859,6,67,1.21,,,,,,,,,,,0.018
133,curve,0.075,0.2952,6,67,4.06,0.0718,0.0577,,,,,,,,,
134,stop,0.075,0.3425,8,50,1.51,,,2,,,,,,,,
135,shake,0.075,0.2617,7,57,3.26,,,,0.0083,3.56,,,,,y,
136,zigzag,0.075,0.253,7,57,2.54,,,,,,0.015,2.44,,,,
137,tilt,0.075,0.2915,7,57,0.93,,,,,,,,9.98,0.0,,
138,static,0.085,0.3078,5,80,0.96,,,,,,,,,,,0.0132
139,curve,0.085,0.3963,6,67,2.67,0.0431,0.056,,,,,,,,,
140,stop,0.085,0.2692,7,57,2.03,,,3,,,,,,,,
141,shake,0.085,0.3141,8,50,3.64,,,,0.0164,2.67,,,,,y,
142,zigzag,0.085,0.3326,7,57,2.94,,,,,,0.0167,2.47,,,,
143,tilt,0.085,0.2739,7,57,2.99,,,,,,,,10.22,2.0,,
144,static,0.055,0.3921,8,50,1.23,,,,,,,,,,,0.0178
145,curve,0.055,0.3642,6,67,3.12,0.0529,0.0436,,,,,,,,,
146,stop,0.055,0.2531,7,57,1.12,,,2,,,,,,,,
147,shake,0.055,0.3508,8,50,2.56,,,,0.0072,3.27,,,,,x,
148,zigzag,0.055,0.3273,7,57,2.44,,,,,,0.0158,2.28,,,,
149,tilt,0.055,0.2625,7,57,2.12,,,,,,,,6.97,2.0,,
150,static,0.065,0.2547,7,57,0.8,,,,,,,,,,,0.001
151,curve,0.065,0.2766,6,67,2.92,0.0507,0.0623,,,,,,,,,
152,stop,0.065,0.3465,6,67,1.53,,,2,,,,,,,,
153,shake,0.065,0.327,7,57,3.16,,,,0.0103,3.11,,,,,y,
154,zigzag,0.065,0.2436,6,67,3.66,,,,,,0.016,2.88,,,,
155,tilt,0.065,0.3936,5,80,3.82,,,,,,,,12.9,2.0,,
156,static,0.075,0.3445,8,50,1.08,,,,,,,,,,,0.0018
157,curve,0.075,0.2814,5,80,4.53,0.0808,0.0712,,,,,,,,,
158,stop,0.075,0.3762,5,80,2.84,,,3,,,,,,,,
159,shake,0.075,0.3484,5,80,2.33,,,,0.0108,2.52,,,,,y,
160,zigzag,0.075,0.2793,6,67,2.44,,,,,,0.0093,3.01,,,,
161,tilt,0.075,0.3284,8,50,1.03,,,,,,,,7.2,0.0,,
162,static,0.085,0.2528,8,50,0.79,,,,,,,,,,,0.0066
163,curve,0.085,0.282,8,50,4.18,0.0743,0.0763,,,,,,,,,
164,stop,0.085,0.3792,5,80,2.86,,,3,,,,,,,,
165,shake,0.085,0.2464,7,57,3.63,,,,0.0135,2.96,,,,,y,
166,zigzag,0.085,0.2775,7,57,3.34,,,,,,0.017,2.65,,,,
167,tilt,0.085,0.3771,5,80,1.38,,,,,,,,10.21,1.0,,
168,static,0.055,0.2673,7,57,0.84,,,,,,,,,,,0.0015
169,curve,0.055,0.355,6,67,3.02,0.051,0.0554,,,,,,,,,
170,stop,0.055,0.3063,8,50,1.35,,,2,,,,,,,,
171,shake,0.055,0.298,7,57,3.85,,,,0.0124,3.17,,,,,x,
172,zigzag,0.055,0.3766,6,67,3.09,,,,,,0.0106,3.16,,,,
173,tilt,0.055,0.3279,5,80,1.04,,,,,,,,9.84,0.0,,
174,static,0.065,0.3324,6,67,1.04,,,,,,,,,,,0.0059
175,curve,0.065,0.3977,8,50,2.7,0.0436,0.0339,,,,,,,,,
176,stop,0.065,0.3059,6,67,2.31,,,3,,,,,,,,
177,shake,0.065,0.3088,7,57,4.51,,,,0.0131,3.35,,,,,y,
178,zigzag,0.065,0.3483,5,80,2.94,,,,,,0.0133,2.76,,,,
179,tilt,0.065,0.344,7,57,3.69,,,,,,,,12.6,2.0,,
180,static,0.075,0.3768,8,50,1.18,,,,,,,,,,,0.0006
181,curve,0.075,0.2927,8,50,4.68,0.0835,0.0213,,,,,,,,,
182,stop,0.075,0.255,5,80,1.13,,,2,,,,,,,,
183,shake,0.075,0.2445,7,57,3.2,,,,0.0143,2.69,,,,,y,
184,zigzag,0.075,0.2999,5,80,4.09,,,,,,0.026,2.38,,,,
185,tilt,0.075,0.2607,7,57,0.83,,,,,,,,10.4,0.0,,
186,static,0.085,0.3576,6,67,1.12,,,,,,,,,,,0.0067
187,curve,0.085,0.2531,7,57,4.15,0.074,0.07,,,,,,,,,
188,stop,0.085,0.3734,6,67,1.65,,,2,,,,,,,,
189,shake,0.085,0.278,7,57,4.61,,,,0.0158,3.09,,,,,x,
190,zigzag,0.085,0.2658,6,67,4.66,,,,,,0.0209,2.85,,,,
191,tilt,0.085,0.2445,5,80,0.8,,,,,,,,12.73,0.0,,
192,static,0.055,0.2679,7,57,0.84,,,,,,,,,,,0.0105
193,curve,0.055,0.2843,7,57,3.32,0.0582,0.0257,,,,,,,,,
194,stop,0.055,0.3192,7,57,1.41,,,2,,,,,,,,
195,shake,0.055,0.2766,7,57,2.4,,,,0.0076,3.13,,,,,y,
196,zigzag,0.055,0.2868,8,50,2.87,,,,,,0.0178,2.38,,,,
197,tilt,0.055,0.3467,6,67,1.09,,,,,,,,8.67,0.0,,
198,static,0.065,0.296,5,80,0.92,,,,,,,,,,,0.0199
199,curve,0.065,0.3187,8,50,3.17,0.0548,0.0233,,,,,,,,,
200,stop,0.065,0.3051,5,80,1.35,,,2,,,,,,,,
201,shake,0.065,0.3377,6,67,3.89,,,,0.0099,3.55,,,,,x,
202,zigzag,0.065,0.3564,6,67,4.19,,,,,,0.0264,2.38,,,,
203,tilt,0.065,0.3863,6,67,1.23,,,,,,,,12.56,0.0,,
204,static,0.075,0.2613,8,50,0.82,,,,,,,,,,,0.0089
205,curve,0.075,0.2849,8,50,2.7,0.0463,0.0273,,,,,,,,,
206,stop,0.075,0.3771,6,67,1.67,,,2,,,,,,,,
207,shake,0.075,0.3342,5,80,2.82,,,,0.0094,3.05,,,,,x,
208,zigzag,0.075,0.3639,7,57,2.88,,,,,,0.019,2.27,,,,
209,tilt,0.075,0.3274,8,50,1.05,,,,,,,,13.84,0.0,,
210,static,0.085,0.3488,7,57,1.09,,,,,,,,,,,0.001
211,curve,0.085,0.2805,6,67,3.71,0.0655,0.0344,,,,,,,,,
212,stop,0.085,0.3342,5,80,1.48,,,2,,,,,,,,
213,shake,0.085,0.3079,6,67,2.76,,,,0.0081,3.26,,,,,x,
214,zigzag,0.085,0.2582,6,67,4.09,,,,,,0.0146,3.19,,,,
215,tilt,0.085,0.2645,6,67,0.84,,,,,,,,9.27,0.0,,
216,static,0.055,0.3956,5,80,1.24,,,,,,,,,,,0.0042
217,curve,0.055,0.3254,6,67,4.05,0.0712,0.0409,,,,,,,,,
218,stop,0.055,0.3273,7,57,1.45,,,2,,,,,,,,
219,shake,0.055,0.2889,8,50,2.39,,,,0.0123,2.45,,,,,y,
220,zigzag,0.055,0.349,5,80,2.59,,,,,,0.0091,3.09,,,,
221,tilt,0.055,0.3577,7,57,1.47,,,,,,,,13.67,1.0,,
222,static,0.065,0.2545,7,57,0.8,,,,,,,,,,,0.0192
223,curve,0.065,0.2989,5,80,4.46,0.0792,0.0548,,,,,,,,,
224,stop,0.065,0.2665,5,80,1.18,,,2,,,,,,,,
225,shake,0.065,0.3192,7,57,2.38,,,,0.0109,2.57,,,,,y,
226,zigzag,0.065,0.3969,6,67,4.91,,,,,,0.0303,2.41,,,,
227,tilt,0.065,0.3351,6,67,1.4,,,,,,,,13.19,1.0,,
228,static,0.075,0.3704,5,80,1.16,,,,,,,,,,,0.0156
229,curve,0.075,0.3766,6,67,4.79,0.0845,0.0336,,,,,,,,,
230,stop,0.075,0.3392,5,80,2.56,,,3,,,,,,,,
231,shake,0.075,0.335,7,57,4.37,,,,0.014,3.18,,,,,y,
232,zigzag,0.075,0.3425,5,80,4.61,,,,,,0.0281,2.43,,,,
233,tilt,0.075,0.3565,7,57,1.14,,,,,,,,12.78,0.0,,
234,static,0.085,0.2596,6,67,0.81,,,,,,,,,,,0.0188
235,curve,0.085,0.3512,8,50,4.49,0.0791,0.0216,,,,,,,,,
236,stop,0.085,0.2608,5,80,1.97,,,3,,,,,,,,
237,shake,0.085,0.2642,7,57,2.33,,,,0.0068,3.27,,,,,y,
238,zigzag,0.085,0.2526,6,67,2.21,,,,,,0.0102,2.74,,,,
239,tilt,0.085,0.3489,7,57,1.1,,,,,,,,6.25,0.0,,
240,static,0.055,0.3856,7,57,1.2,,,,,,,,,,,0.0021
241,curve,0.055,0.3086,5,80,4.99,0.089,0.0779,,,,,,,,,
242,stop,0.055,0.2989,6,67,2.26,,,3,,,,,,,,
243,shake,0.055,0.3212,8,50,4.93,,,,0.0147,3.31,,,,,x,
244,zigzag,0.055,0.2821,7,57,4.14,,,,,,0.0227,2.57,,,,
245,tilt,0.055,0.3676,7,57,2.32,,,,,,,,7.18,2.0,,
246,static,0.065,0.2402,7,57,0.75,,,,,,,,,,,0.0089
247,curve,0.065,0.2996,6,67,3.62,0.0635,0.0514,,,,,,,,,
248,stop,0.065,0.2939,6,67,2.22,,,3,,,,,,,,
249,shake,0.065,0.2595,7,57,4.01,,,,0.011,3.45,,,,,y,
250,zigzag,0.065,0.2997,5,80,3.45,,,,,,0.0189,2.55,,,,
251,tilt,0.065,0.3359,8,50,1.06,,,,,,,,6.05,0.0,,
252,static,0.075,0.2486,5,80,0.78,,,,,,,,,,,0.0004
253,curve,0.075,0.3029,6,67,2.83,0.0485,0.0463,,,,,,,,,
254,stop,0.075,0.2668,5,80,2.01,,,3,,,,,,,,
255,shake,0.075,0.2662,8,50,3.3,,,,0.0099,3.28,,,,,y,
256,zigzag,0.075,0.3906,7,57,3.09,,,,,,0.0164,2.53,,,,
257,tilt,0.075,0.3712,5,80,2.71,,,,,,,,8.74,2.0,,
258,static,0.085,0.273,5,80,0.85,,,,,,,,,,,0.0061
259,curve,0.085,0.3029,8,50,3.43,0.0599,0.0787,,,,,,,,,
260,stop,0.085,0.3781,5,80,2.86,,,3,,,,,,,,
261,shake,0.085,0.2464,7,57,3.13,,,,0.0127,2.82,,,,,y,
262,zigzag,0.085,0.2644,6,67,3.63,,,,,,0.016,2.86,,,,
263,tilt,0.085,0.2704,5,80,0.99,,,,,,,,7.28,1.0,,
264,static,0.055,0.2948,5,80,0.92,,,,,,,,,,,0.0088
265,curve,0.055,0.2563,6,67,3.37,0.0595,0.0502,,,,,,,,,
266,stop,0.055,0.318,8,50,2.4,,,3,,,,,,,,
267,shake,0.055,0.2949,5,80,4.78,,,,0.0129,3.48,,,,,y,
268,zigzag,0.055,0.3257,6,67,2.44,,,,,,0.0072,3.38,,,,
269,tilt,0.055,0.3167,6,67,1.01,,,,,,,,10.99,0.0,,
270,static,0.065,0.2567,8,50,0.8,,,,,,,,,,,0.0028
271,curve,0.065,0.2995,8,50,4.24,0.0751,0.0492,,,,,,,,,
272,stop,0.065,0.3727,6,67,1.65,,,2,,,,,,,,
273,shake,0.065,0.3489,6,67,3.14,,,,0.0078,3.55,,,,,x,
274,zigzag,0.065,0.2908,6,67,3.31,,,,,,0.0111,3.26,,,,
275,tilt,0.065,0.3519,6,67,3.02,,,,,,,,10.06,2.0,,
276,static,0.075,0.3867,6,67,1.21,,,,,,,,,,,0.0136
277,curve,0.075,0.3777,5,80,3.48,0.0595,0.07,,,,,,,,,
278,stop,0.075,0.297,5,80,2.24,,,3,,,,,,,,
279,shake,0.075,0.2907,5,80,4.42,,,,0.024,2.45,,,,,y,
280,zigzag,0.075,0.2528,5,80,3.24,,,,,,0.0116,3.17,,,,
281,tilt,0.075,0.327,8,50,1.04,,,,,,,,12.35,0.0,,
282,static,0.085,0.3237,8,50,1.01,,,,,,,,,,,0.0096
283,curve,0.085,0.2911,6,67,2.72,0.0466,0.0525,,,,,,,,,
284,stop,0.085,0.2689,5,80,1.19,,,2,,,,,,,,
285,shake,0.085,0.3886,6,67,2.6,,,,0.007,3.31,,,,,y,
286,zigzag,0.085,0.3998,5,80,2.75,,,,,,0.0166,2.34,,,,
287,tilt,0.085,0.3901,6,67,1.23,,,,,,,,7.49,0.0,,
288,static,0.055,0.2919,6,67,0.91,,,,,,,,,,,0.0122
289,curve,0.055,0.3578,5,80,5.02,0.0889,0.0236,,,,,,,,,
290,stop,0.055,0.3306,8,50,1.46,,,2,,,,,,,,
291,shake,0.055,0.2543,6,67,2.61,,,,0.0084,3.14,,,,,y,
292,zigzag,0.055,0.3585,6,67,3.17,,,,,,0.014,2.8,,,,
293,tilt,0.055,0.2606,6,67,2.07,,,,,,,,6.79,2.0,,
294,static,0.065,0.3438,5,80,1.07,,,,,,,,,,,0.0002
295,curve,0.065,0.3303,8,50,3.48,0.0604,0.0221,,,,,,,,,
296,stop,0.065,0.3979,8,50,3.0,,,3,,,,,,,,
297,shake,0.065,0.2694,8,50,2.99,,,,0.0145,2.57,,,,,x,
298,zigzag,0.065,0.2879,6,67,3.8,,,,,,0.0146,3.06,,,,
299,tilt,0.065,0.3111,7,57,1.14,,,,,,,,8.51,1.0,,
300,static,0.075,0.2737,6,67,0.86,,,,,,,,,,,0.0147
301,curve,0.075,0.2686,6,67,3.2,0.0562,0.0582,,,,,,,,,
302,stop,0.075,0.2503,8,50,1.11,,,2,,,,,,,,
303,shake,0.075,0.2881,8,50,4.21,,,,0.0129,3.26,,,,,y,
304,zigzag,0.075,0.2737,6,67,4.01,,,,,,0.0139,3.23,,,,
305,tilt,0.075,0.3775,5,80,1.19,,,,,,,,7.72,0.0,,
306,static,0.085,0.3842,6,67,1.2,,,,,,,,,,,0.0009
307,curve,0.085,0.3671,6,67,5.06,0.0896,0.0707,,,,,,,,,
308,stop,0.085,0.3109,8,50,1.37,,,2,,,,,,,,
309,shake,0.085,0.3902,6,67,3.08,,,,0.0084,3.35,,,,,y,
310,zigzag,0.085,0.3961,6,67,4.08,,,,,,0.016,3.0,,,,
311,tilt,0.085,0.3608,8,50,2.19,,,,,,,,6.71,2.0,,
312,static,0.055,0.3718,5,80,1.16,,,,,,,,,,,0.0159
313,curve,0.055,0.3751,5,80,3.17,0.0535,0.0536,,,,,,,,,
314,stop,0.055,0.3159,5,80,1.4,,,2,,,,,,,,
315,shake,0.055,0.2459,7,57,4.53,,,,0.016,3.05,,,,,y,
316,zigzag,0.055,0.3137,5,80,5.05,,,,,,0.0208,2.97,,,,
317,tilt,0.055,0.2437,7,57,0.78,,,,,,,,9.16,0.0,,
318,static,0.065,0.3617,5,80,1.13,,,,,,,,,,,0.007
319,curve,0.065,0.3671,8,50,3.9,0.0678,0.0327,,,,,,,,,
320,stop,0.065,0.294,5,80,1.3,,,2,,,,,,,,
321,shake,0.065,0.288,5,80,3.13,,,,0.0164,2.47,,,,,x,
322,zigzag,0.065,0.3351,7,57,2.78,,,,,,0.0084,3.37,,,,
323,tilt,0.065,0.3897,6,67,2.38,,,,,,,,7.32,2.0,,
324,static,0.075,0.3976,6,67,1.24,,,,,,,,,,,0.0107
325,curve,0.075,0.256,8,50,3.3,0.0582,0.067,,,,,,,,,
326,stop,0.075,0.3272,7,57,2.47,,,3,,,,,,,,
327,shake,0.075,0.3974,5,80,2.87,,,,0.0086,3.17,,,,,y,
328,zigzag,0.075,0.3273,5,80,3.68,,,,,,0.02,2.56,,,,
329,tilt,0.075,0.2843,8,50,1.11,,,,,,,,9.5,1.0,,
330,static,0.085,0.3589,6,67,1.12,,,,,,,,,,,0.0192
331,curve,0.085,0.3884,8,50,4.87,0.0858,0.0629,,,,,,,,,
332,stop,0.085,0.2894,6,67,2.19,,,3,,,,,,,,
333,shake,0.085,0.3249,6,67,4.47,,,,0.0202,2.68,,,,,x,
334,zigzag,0.085,0.3465,7,57,3.7,,,,,,0.0156,2.9,,,,
335,tilt,0.085,0.358,7,57,1.28,,,,,,,,8.89,1.0,,
336,static,0.055,0.2599,5,80,0.81,,,,,,,,,,,0.0038
337,curve,0.055,0.2772,8,50,3.86,0.0684,0.0756,,,,,,,,,
338,stop,0.055,0.2561,5,80,1.13,,,2,,,,,,,,
339,shake,0.055,0.3835,5,80,2.99,,,,0.0084,3.3,,,,,x,
340,zigzag,0.055,0.2831,6,67,4.62,,,,,,0.0315,2.31,,,,
341,tilt,0.055,0.2555,7,57,3.15,,,,,,,,10.87,2.0,,
342,static,0.065,0.3372,7,57,1.05,,,,,,,,,,,0.0182
343,curve,0.065,0.2713,5,80,2.58,0.0444,0.0276,,,,,,,,,
344,stop,0.065,0.3382,8,50,2.55,,,3,,,,,,,,
345,shake,0.065,0.2632,8,50,3.22,,,,0.011,3.07,,,,,x,
346,zigzag,0.065,0.3525,5,80,3.47,,,,,,0.0114,3.27,,,,
347,tilt,0.065,0.2886,7,57,2.27,,,,,,,,7.44,2.0,,
348,static,0.075,0.2887,5,80,0.9,,,,,,,,,,,0.0128
349,curve,0.075,0.3111,5,80,2.65,0.0449,0.0555,,,,,,,,,
350,stop,0.075,0.3019,7,57,2.28,,,3,,,,,,,,
351,shake,0.075,0.3807,5,80,3.27,,,,0.009,3.36,,,,,y,
352,zigzag,0.075,0.3178,5,80,4.86,,,,,,0.0169,3.23,,,,
353,tilt,0.075,0.3404,7,57,3.11,,,,,,,,10.42,2.0,,
354,static,0.085,0.3823,5,80,1.19,,,,,,,,,,,0.0073
355,curve,0.085,0.3998,6,67,4.87,0.0855,0.0637,,,,,,,,,
356,stop,0.085,0.2436,6,67,1.84,,,3,,,,,,,,
